gsm,sample_token,species,tissue,disease_state,donor,fraction,split,include_primary,exclusion_reason,barcodes,genes,matrix
GSM4041170,blood1,Homo sapiens,blood,blood_reference,blood1,not_fractionated,NA,FALSE,blood excluded from primary tissue analysis,GSM4041170_blood1_barcodes.tsv.gz,GSM4041170_blood1_genes.tsv.gz,GSM4041170_blood1_matrix.mtx.gz
GSM4041171,blood2,Homo sapiens,blood,blood_reference,blood2,not_fractionated,NA,FALSE,blood excluded from primary tissue analysis,GSM4041171_blood2_barcodes.tsv.gz,GSM4041171_blood2_genes.tsv.gz,GSM4041171_blood2_matrix.mtx.gz
GSM4041172,blood3,Homo sapiens,blood,blood_reference,blood3,not_fractionated,NA,FALSE,blood excluded from primary tissue analysis,GSM4041172_blood3_barcodes.tsv.gz,GSM4041172_blood3_genes.tsv.gz,GSM4041172_blood3_matrix.mtx.gz
GSM4041173,blood4,Homo sapiens,blood,blood_reference,blood4,not_fractionated,NA,FALSE,blood excluded from primary tissue analysis,GSM4041173_blood4_barcodes.tsv.gz,GSM4041173_blood4_genes.tsv.gz,GSM4041173_blood4_matrix.mtx.gz
GSM4041162,cirrhotic1_cd45-A,Homo sapiens,liver,cirrhotic,cirrhotic1,CD45_negative,A,TRUE,NA,GSM4041162_cirrhotic1_cd45-A_barcodes.tsv.gz,GSM4041162_cirrhotic1_cd45-A_genes.tsv.gz,GSM4041162_cirrhotic1_cd45-A_matrix.mtx.gz
GSM4041163,cirrhotic1_cd45-B,Homo sapiens,liver,cirrhotic,cirrhotic1,CD45_negative,B,TRUE,NA,GSM4041163_cirrhotic1_cd45-B_barcodes.tsv.gz,GSM4041163_cirrhotic1_cd45-B_genes.tsv.gz,GSM4041163_cirrhotic1_cd45-B_matrix.mtx.gz
GSM4041161,cirrhotic1_cd45+,Homo sapiens,liver,cirrhotic,cirrhotic1,CD45_positive,NA,TRUE,NA,GSM4041161_cirrhotic1_cd45+_barcodes.tsv.gz,GSM4041161_cirrhotic1_cd45+_genes.tsv.gz,GSM4041161_cirrhotic1_cd45+_matrix.mtx.gz
GSM4041165,cirrhotic2_cd45-,Homo sapiens,liver,cirrhotic,cirrhotic2,CD45_negative,NA,TRUE,NA,GSM4041165_cirrhotic2_cd45-_barcodes.tsv.gz,GSM4041165_cirrhotic2_cd45-_genes.tsv.gz,GSM4041165_cirrhotic2_cd45-_matrix.mtx.gz
GSM4041164,cirrhotic2_cd45+,Homo sapiens,liver,cirrhotic,cirrhotic2,CD45_positive,NA,TRUE,NA,GSM4041164_cirrhotic2_cd45+_barcodes.tsv.gz,GSM4041164_cirrhotic2_cd45+_genes.tsv.gz,GSM4041164_cirrhotic2_cd45+_matrix.mtx.gz
GSM4041167,cirrhotic3_cd45-,Homo sapiens,liver,cirrhotic,cirrhotic3,CD45_negative,NA,TRUE,NA,GSM4041167_cirrhotic3_cd45-_barcodes.tsv.gz,GSM4041167_cirrhotic3_cd45-_genes.tsv.gz,GSM4041167_cirrhotic3_cd45-_matrix.mtx.gz
